cardNumber,timestamp,amount
3820307659851859,2024-04-21T15:54:07.771Z,508.18
3589249568754350,2024-04-21T16:48:40.771Z,802.06
6361000177795595,2024-04-21T17:24:40.771Z,354.89
6706534013288847,2024-04-21T18:01:08.771Z,-494.47
5816050191711854,2024-04-21T18:08:50.771Z,-112.99
3219459079118226,2024-04-21T18:45:44.771Z,-235.12
6575315976430295,2024-04-21T20:30:11.771Z,52.99
5609879353687978,2024-04-21T20:34:58.771Z,991.74
6575315976430295,2024-04-21T22:30:08.771Z,-264.46
5581253985313232,2024-04-22T00:37:05.771Z,764.15
3589249568754350,2024-04-22T00:53:34.771Z,-18.61
3742992852195954,2024-04-22T01:04:15.771Z,-900.79
6006325963724299,2024-04-22T01:05:33.771Z,296.27
6472592460352496,2024-04-22T02:11:33.771Z,855.40
6575315976430295,2024-04-22T03:03:18.771Z,-409.75
5581253985313232,2024-04-22T03:05:08.771Z,-362.58
3537349596978716,2024-04-22T03:06:06.771Z,-373.97
3537349596978716,2024-04-22T03:09:33.771Z,756.41
5705851002586967,2024-04-22T03:25:10.771Z,674.82
6288853716425504,2024-04-22T05:05:38.771Z,-819.48
3820307659851859,2024-04-22T05:06:32.771Z,126.47
6575315976430295,2024-04-22T05:55:45.771Z,-319.80
3171948530096903,2024-04-22T06:10:18.771Z,-38.89
3037393026661280,2024-04-22T06:41:43.771Z,970.23
5816050191711854,2024-04-22T08:05:55.771Z,-399.05
6833412122497701,2024-04-22T09:26:51.771Z,-641.68
4932629994846233,2024-04-22T09:31:48.771Z,294.50
3820307659851859,2024-04-22T09:32:02.771Z,641.38
6419514998974763,2024-04-22T10:24:04.771Z,480.58
5581253985313232,2024-04-22T11:34:15.771Z,4.19
3589249568754350,2024-04-22T16:42:23.771Z,62.12
6833412122497701,2024-04-22T17:12:20.771Z,-230.31
4378233413863490,2024-04-22T17:53:51.771Z,291.59
3219459079118226,2024-04-22T19:00:37.771Z,-465.42
3404349486560448,2024-04-22T20:52:55.771Z,-490.22
5609879353687978,2024-04-22T22:06:12.771Z,978.09
6833412122497701,2024-04-22T22:10:30.771Z,-620.17
6575315976430295,2024-04-23T00:29:49.771Z,-764.32
5581253985313232,2024-04-23T02:14:39.771Z,-982.05
6218748060041639,2024-04-23T02:16:12.771Z,716.83
6437219155436606,2024-04-23T02:39:23.771Z,697.19
3537349596978716,2024-04-23T03:07:13.771Z,745.24
6437219155436606,2024-04-23T03:50:51.771Z,-758.62
6361000177795595,2024-04-23T04:25:00.771Z,404.04
3404349486560448,2024-04-23T06:17:53.771Z,-25.60
3663297678172224,2024-04-23T07:59:25.771Z,-710.90
3037393026661280,2024-04-23T08:26:39.771Z,-494.73
5997179980717501,2024-04-23T08:48:51.771Z,21.98
5926759033070471,2024-04-23T12:09:24.771Z,-237.72
4378233413863490,2024-04-23T12:11:26.771Z,-651.74
3820307659851859,2024-04-23T13:41:46.771Z,16.33
6018480886031697,2024-04-23T13:49:09.771Z,644.86
6288853716425504,2024-04-23T13:51:41.771Z,515.92
5995696966070264,2024-04-23T15:12:44.771Z,-322.77
3219459079118226,2024-04-23T16:06:10.771Z,-824.13
6006325963724299,2024-04-23T16:23:28.771Z,-701.49
6329931100465627,2024-04-23T18:18:48.771Z,229.93
6706534013288847,2024-04-23T18:44:04.771Z,-390.06
6419514998974763,2024-04-23T20:50:01.771Z,-747.42
4235973154283559,2024-04-23T21:12:36.771Z,-912.67
6575315976430295,2024-04-23T22:29:12.771Z,96.00
3339801217806434,2024-04-23T23:29:08.771Z,138.23
6564109388484184,2024-04-24T00:32:20.771Z,-968.85
5618401722389028,2024-04-24T00:56:50.771Z,-124.74
4235973154283559,2024-04-24T01:54:40.771Z,-784.16
6006325963724299,2024-04-24T02:41:19.771Z,-240.31
4726556059561949,2024-04-24T02:42:22.771Z,-447.74
3328090600295181,2024-04-24T02:57:04.771Z,568.69
5216484446506263,2024-04-24T03:58:46.771Z,-51.38
6706534013288847,2024-04-24T04:17:43.771Z,425.37
3369832681865051,2024-04-24T05:05:37.771Z,654.22
3663297678172224,2024-04-24T06:20:09.771Z,623.42
3745155717279673,2024-04-24T08:00:30.771Z,-826.31
3339801217806434,2024-04-24T09:22:39.771Z,792.82
3663297678172224,2024-04-24T10:48:43.771Z,514.49
6329931100465627,2024-04-24T10:51:45.771Z,-385.35
4210013133081688,2024-04-24T10:53:42.771Z,859.76
5092446914149764,2024-04-24T12:24:30.771Z,148.47
6657327299602346,2024-04-24T12:36:24.771Z,-316.77
5705851002586967,2024-04-24T12:51:58.771Z,-855.40
5216484446506263,2024-04-24T13:20:22.771Z,306.91
